-	16-090	16-100	16-127	16-146	16-151	16-155
16-090	0	31	24	7	32	35
16-100	31	0	33	32	3	6
16-127	24	33	0	25	34	37
16-146	7	32	25	0	33	36
16-151	32	3	34	33	0	3
16-155	35	6	37	36	3	0
